X,Y,objectid,local,state,thr_id,original_a,commentary
511200,5413209,395,LCC,THC,4204, ,95 Esplanade
511454.41,5412676,424,LCC,THC,3977, ,added
511407.44,5412650,403,LCC,THC,3964, ,added
511236.79,5412859,388,LCC,THC,11260, ,CH Smith
511435.3175,5412781.492,1154,LCC,THC,4485, ,Chapel
511457,5412769,1155,LCC,THC,4486, ,Church
510557,5412361,236,LCC,THC,3873, ,Cottage
511490.13,5412898,328,LCC,THC,3933, ,double PO
512269.28,5413294,692,LCC,THC,4154, ,fountain
512235.12,5413179,237,LCC,THC,3878, ,Glenfruin
511218.2246,5413034.953,393,LCC,THC,3958, ,JMC
510619,5412357,1377,LCC,THC,3874, ,King's Bridge
511356.53,5412815,335,LCC,THC,3937, ,Macquarie
510763.4,5412350,235,LCC,THC,3872, ,Mill
510033.99,5417063,1125,LCC,THC,4475, ,Newnham Hall
509961.71,5416842,1126,LCC,THC,4475, ,Newnham Hall
511834.81,5411523,586,LCC,THC,7941, ,Ockerby
511795.3,5412159,363,LCC,THC,4032, ,part 233 Charles
513552.81,5413653,938,LCC,THC,7176, ,Powder Mag
511729.34,5412328,802,LCC,THC,4499, ,Princes Square
511164.97,5412637,1390,LCC,THC,4659, ,QVMAG
510033.99,5417063,1127,LCC,THC,4476, ,Riversdide Cottage
511679.27,5413007,249,LCC,THC,3887, ,Theatre
511614,5411932,1427,LCC,THC,4680, ,titles
511361.87,5411765,1098,LCC,THC,3820, ,tricky titles
511029.11,5412443,1165,LCC,THC,4480, ,Tudor Shop
511545.46,5413154,809,LCC,THC,4247, ,Tulloch's
511634.8242,5412934.175,316,LCC,THC,4254, ,UNIT 1
511438.16,5412798,334,LCC,THC,3936, ,UNIT 1
511629.1942,5412930.175,317,LCC,THC,4254, ,UNIT 3 LEVEL 2
511490.13,5412898,329,LCC,THC,7085, ,update to PO?
511488.4413,5412774,1151,LCC,THC,4484, ,Wes Chambers
512066,5410747,1449,LCC,THC,4684,1 Pottery Ct,Glen Dhu
511193.02,5412589,1393,LCC,THC,11008,10-16 Wellington St, 
511263.52,5412628,1394,LCC,THC,6305,11 Wellington St, 
511253.917,5412693.457,349,LCC,THC,6317,111-119 Cameron Street LAUNCESTON TAS 7250, 
511706.1,5412452,1279,LCC,THC,4565,120-124 St John St, 
511718.2333,5412522.117,1282,LCC,THC,4568,127-127A St John St, 
511263.84,5412618,1395,LCC,THC,6306,13 Wellington St, 
511584.5317,5412415.868,437,LCC,THC,3985,134-136, 
511837.65,5412216,1296,LCC,THC,4580,146-148-148A St John St, 
511273.53,5412614,1396,LCC,THC,6307,15 Wellington St, 
511854.5,5412304,1300,LCC,THC,4582,159-161 St John St, 
511304.5125,5412499.498,1398,LCC,THC,4662,18 Wellington Street LAUNCESTON TAS 7250, 
511307.49,5412892,581,LCC,THC,4088,198 Cimitiere Street LAUNCESTON TAS 7250, 
